code,name_ja,name_en,population,gdp_nominal,gdp_ppp_per_capita,gdp_ppp,y_gdp,y_ppp,y_population,surface,population_density,y_net,net,y_life,life,y_young,young,y_forest,forest,y_tas,tas,capital_en,capital_ja,name_ja_hira
KAZ,カザフスタン,Kazakhstan,20330104,262641892079.0,34703.23493,705520375236.0,2023,2023,2023,2724902.0,7.460856941,2023,92.8785,2022,74.44,2023,29.53908647,2022,1.301314553,2023,8.91,Nur-Sultan,ヌルスルタン,かざふすたん
QAT,カタール,Qatar,2979082,213002809330.0,103562.9096,308522399731.0,2023,2023,2023,11490.0,259.2760661,2023,99.6528,2022,81.559,2023,15.1605931,0,0.0,2023,29.07,Doha,ドーハ,かたーる
CAN,カナダ,Canada,39299105,2142470914401.0,57838.93571,2273018407586.0,2023,2023,2023,15634410.0,2.513628912,2023,93.9564,2022,81.29560976,2023,15.30454339,2022,39.46592,2023,-2.89,Ottawa,オタワ,かなだ
CMR,カメルーン,Cameroon,28372687,49279410983.0,4870.570765,138191179831.0,2023,2023,2023,475440.0,59.67669317,2023,41.9088,2022,60.958,2023,41.76055479,2022,42.79257896,2023,24.99,Yaounde,ヤウンデ,かめるーん
KHM,カンボジア,Cambodia,17423880,42335646896.0,6690.589426,116576027285.0,2023,2023,2023,181040.0,96.24326116,2023,60.7171,2022,69.896,2023,30.11055717,2022,43.94397235,2023,27.95,Phnom Penh,プノンペン,かんぼじあ
CPV,カーボベルデ,Cabo Verde,522331,2533819406.0,9288.40217,4851620394.0,2023,2023,2023,4030.0,129.61067,2023,73.539,2022,74.722,2023,26.37085141,2022,11.49379653,2023,23.08,Praia,プライア,かーぼべるで
GUY,ガイアナ,Guyana,826353,17159509565.0,49315.16031,40751730668.0,2023,2023,2023,214970.0,3.844038703,2023,81.7221,2022,65.989,2023,29.32324321,2022,93.4565969,2023,26.67,Georgetown,ジョージタウン,がいあな
GAB,ガボン,Gabon,2484789,19388402542.0,18702.69052,46472239669.0,2023,2023,2023,267670.0,9.283031345,2023,71.9256,2022,65.694,2023,36.66219479,2022,91.22847052,2023,25.14,Libreville,リーブルヴィル,がぼん
GMB,ガンビア,Gambia,2697845,2396111022.0,2932.280595,7910838542.0,2023,2023,2023,11300.0,238.7473451,2023,45.9137,2022,62.906,2023,40.73085356,2022,22.8459585,2023,29.16,Banjul,バンジュール,がんびあ
GHA,ガーナ,Ghana,33787914,76370396722.0,6796.473619,229638666150.0,2023,2023,2023,238533.0,141.6488033,2023,69.9445,2022,63.945,2023,36.17891889,2022,35.1604431,2023,28.26,Accra,アクラ,がーな
GGY,ガーンジー,Guernsey,64017,0.0,0.0,0.0,0,0,2023,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2023,13.02,St Peter Port,セントピーターポート,がーんじー
MKD,北マケドニア,North Macedonia,1831802,15763621848.0,23273.15061,42631803831.0,2023,2023,2023,25710.0,71.24861921,2023,87.1819,2022,74.42487805,2023,17.06784278,2022,39.71015067,2023,12.26,Skopje,スコピエ,きた
MNP,北マリアナ諸島,Northern Mariana Islands,45143,1096000000.0,0.0,0.0,2022,0,2023,460.0,98.13695652,0,0.0,0,0.0,2023,22.58600447,2022,52.95652174,2023,27.35,Saipan,サイパン,きたまりあなしょとう
CYP,キプロス,Cyprus,1344976,33886930712.0,35946.07374,48346606477.0,2023,2023,2023,9250.0,145.4028108,2023,91.2211,2022,81.889,2023,16.05389838,2022,18.66774892,2023,19.89,Nicosia,ニコシア,きぷろす
CUW,キュラソー,Curaçao,185427,3281419347.0,23034.63566,4271243386.0,2023,2023,2023,444.0,417.6283784,2017,68.1272,2017,78.01707317,2023,15.24265614,2022,0.1576576577,2023,28.48,Willemstad,ウィレムスタット,きゅらそー
CUB,キューバ,Cuba,11019931,107351800000.0,0.0,0.0,2020,0,2023,109880.0,100.2905988,2023,71.275,2022,78.155,2023,15.51397715,2022,31.23314066,2023,26.7,Havana,ハバナ,きゅーば
